species_removed,fit,model,n,R2,int,int.se,int.lo,int.hi,slo,slo.se,slo.lo,slo.hi,p_b1
showy stamens,Male ~ Flower,phySMA,239,0.790003376903819,-0.4896089153090766,NA,NA,NA,1.1447517949036736,NA,NA,NA,1.0472894878830494e-5
showy stamens,Female ~ Flower,phySMA,239,0.8191200353751406,-0.8507918977072748,NA,NA,NA,0.9939933669209631,NA,NA,NA,0.8276274196737149
showy stamens,Petals ~ Flower,phySMA,239,0.9226399209531078,-0.08221004499474027,NA,NA,NA,1.1459833117433902,NA,NA,NA,2.9876258961783463e-12
showy stamens,Sepals ~ Flower,phySMA,239,0.7441516505398527,-0.6161657784702959,NA,NA,NA,1.0284042288608746,NA,NA,NA,0.39513040158034796
showy sepals,Male ~ Flower,phySMA,271,0.8179090296414131,-0.5583990673540353,NA,NA,NA,1.1253061261736401,NA,NA,NA,9.994526168085206e-6
showy sepals,Female ~ Flower,phySMA,271,0.8246101337919614,-0.7793207664023449,NA,NA,NA,0.989256813897412,NA,NA,NA,0.672760418760704
showy sepals,Petals ~ Flower,phySMA,271,0.8505666771272563,0.10023136803371946,NA,NA,NA,1.2503382429829406,NA,NA,NA,1.0391827690254986e-17
showy sepals,Sepals ~ Flower,phySMA,271,0.7387256730856104,-0.8209098131330581,NA,NA,NA,0.9472886243653028,NA,NA,NA,0.0838411573006823
tepals,Male ~ Flower,phySMA,289,0.8400183259031538,-0.5658895614624511,NA,NA,NA,1.1083586871857218,NA,NA,NA,2.083083196365058e-5
tepals,Female ~ Flower,phySMA,289,0.8309547832420521,-0.7999273063792574,NA,NA,NA,0.9929048062420032,NA,NA,NA,0.7695192878866549
tepals,Petals ~ Flower,phySMA,289,0.860271465548467,0.06993462014578089,NA,NA,NA,1.2346200025099514,NA,NA,NA,4.3577343838981225e-18
tepals,Sepals ~ Flower,phySMA,289,0.757586570766062,-0.7702149768827655,NA,NA,NA,0.9665027492633942,NA,NA,NA,0.2423925331879359
inflorescence,Male ~ Flower,phySMA,270,0.8167702843105611,-0.537912469381268,NA,NA,NA,1.1349958455264413,NA,NA,NA,2.6250882610469444e-6
inflorescence,Female ~ Flower,phySMA,270,0.8359082310795644,-0.8469832746554529,NA,NA,NA,0.9821039694624999,NA,NA,NA,0.46641448858016743
inflorescence,Petals ~ Flower,phySMA,270,0.84409386841069,0.07821278657750463,NA,NA,NA,1.2430680416432445,NA,NA,NA,2.0147412805620997e-16
