level,clade_removed,fit,model,n,R2,int,int.se,int.lo,int.hi,slo,slo.se,slo.lo,slo.hi,p_b1
family,Lamiaceae,Sepals ~ Flower,phySMA,285,0.7507628181390492,-0.7715647366624419,NA,NA,NA,0.9653310488496316,NA,NA,NA,0.23581298460647698
family,Ericaceae,Male ~ Flower,phySMA,294,0.8328822662444085,-0.5310411230633236,NA,NA,NA,1.1313631411932927,NA,NA,NA,5.76918690688342e-7
family,Ericaceae,Female ~ Flower,phySMA,294,0.8253452581690816,-0.8184261842510572,NA,NA,NA,0.9932102662700747,NA,NA,NA,0.7808515429019579
family,Ericaceae,Petals ~ Flower,phySMA,294,0.8525182770972859,0.047027814686016356,NA,NA,NA,1.227414340863143,NA,NA,NA,6.872337716676317e-17
family,Ericaceae,Sepals ~ Flower,phySMA,294,0.7550839942814589,-0.7564468198976293,NA,NA,NA,0.9724520079626657,NA,NA,NA,0.3358592803690996
family,Brassicaceae,Male ~ Flower,phySMA,296,0.8250064756220862,-0.5388350207343415,NA,NA,NA,1.1278598044804748,NA,NA,NA,1.6532076204651992e-6
family,Brassicaceae,Female ~ Flower,phySMA,296,0.8281490620860887,-0.8027421077088683,NA,NA,NA,1.0005124389071236,NA,NA,NA,0.983114313302341
family,Brassicaceae,Petals ~ Flower,phySMA,296,0.851812657782622,0.044549315405060685,NA,NA,NA,1.226739914497209,NA,NA,NA,7.309215112039367e-17
family,Brassicaceae,Sepals ~ Flower,phySMA,296,0.7462097764655218,-0.7555180420061203,NA,NA,NA,0.9723915942215438,NA,NA,NA,0.34171035181829057
family,Malvaceae,Male ~ Flower,phySMA,296,0.8591165672742967,-0.6110994842995261,NA,NA,NA,1.092872237060832,NA,NA,NA,7.034851226303623e-5
family,Malvaceae,Female ~ Flower,phySMA,296,0.8223647087337478,-0.7943284655530172,NA,NA,NA,1.0039834681851052,NA,NA,NA,0.8716689707422844
family,Malvaceae,Petals ~ Flower,phySMA,296,0.8485242137849077,0.05421663066202065,NA,NA,NA,1.2300904975591909,NA,NA,NA,6.33285781392551e-17
family,Malvaceae,Sepals ~ Flower,phySMA,296,0.7938050974744666,-0.8081204106592133,NA,NA,NA,0.9477931436048271,NA,NA,NA,0.04415300843045791
order,Lamiales,Male ~ Flower,SMA,243,0.8434528479448729,-0.6701463523954092,NA,-0.7973364375186277,-0.5429562672721907,1.081282964581029,NA,1.0283588130373342,1.1369308403551281,0.00239074774313508
order,Lamiales,Female ~ Flower,SMA,243,0.8027743144365452,-0.7303168705657272,NA,-0.8658285533161308,-0.5948051878153237,1.0259488788639453,NA,0.969762491370263,1.0853906099780328,0.3713556153049602
order,Lamiales,Petals ~ Flower,SMA,243,0.8875559336259672,-0.21875671901614657,NA,-0.3284862158937395,-0.10902722213855366,1.1011529742683228,NA,1.055295830762887,1.149002807926773,1.2156645474270533e-5
order,Lamiales,Sepals ~ Flower,SMA,243,0.8520125543679669,-0.5378993577818036,NA,-0.6593828453473825,-0.41641587021622484,1.0623066482128656,NA,1.0117167704064436,1.1154262218900408,0.015382417700274154
order,Fabales,Male ~ Flower,SMA,278,0.8286122008888253,-0.6388052060194935,NA,-0.7683746841303348,-0.5092357279086522,1.1017919454719145,NA,1.0490673752432698,1.1571663743954315,1.22697142396877e-4
order,Fabales,Female ~ Flower,SMA,278,0.8239617976880645,-0.7051002098089896,NA,-0.8285586636860143,-0.5816417559319649,1.035822900526409,NA,0.9856041897598226,1.0886003655447127,0.16446448829936355
order,Fabales,Petals ~ Flower,SMA,278,0.8914036624325102,-0.1898693250035559,NA,-0.29345051427256763,-0.08628813573454422,1.107141554109414,NA,1.0647525788102616,1.151218081298715,5.207577682408981e-7
order,Fabales,Sepals ~ Flower,SMA,278,0.8402073779962357,-0.5908534759341872,NA,-0.7083488087996038,-0.47335814306877066,1.0348449222482854,NA,0.9869871820579296,1.0850232227638037,0.15564077978098045
